mother,watch_from,tf,expiry,strike,lot,buys,lots,first_fill,exit,reason,deployed,gross,costs,net,unpriced,legs,exit_detail,target_index
2024-10-30T13:05:00+05:30,2024-10-30T13:05:00+05:30,5m,2024-11-28,24100,25,2,3,2024-10-31T13:35:00+05:30,2024-11-04T09:20:00+05:30,target,42186.25,-6411.25,143.28,-6554.53,0,"[{""t"": ""2024-10-31T13:35:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-10-31T13:40:00+05:30"", ""index"": 24206.25, ""premium"": 560.75, ""qty"": 25, ""rung"": 1, ""strike"": 24100}, {""t"": ""2024-10-31T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-10-31T14:45:00+05:30"", ""index"": 24187.1, ""premium"": 563.35, ""qty"": 50, ""rung"": 2, ""strike"": 24100}]","{""timestamp"": ""2024-11-04T09:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-04T09:20:00+05:30"", ""index_price"": 24269.66, ""option_premium"": 477.0, ""premiums"": {""24100CE"": 477.0}, ""reason"": ""target""}",24269.66
2024-10-30T13:05:00+05:30,2024-11-04T09:20:00+05:30,5m,2024-11-28,24000,25,2,3,2024-11-04T09:30:00+05:30,2024-11-05T14:20:00+05:30,target,36161.25,6018.75,170.94,5847.81,0,"[{""t"": ""2024-11-04T09:30:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-11-04T09:35:00+05:30"", ""index"": 24084.85, ""premium"": 505.05, ""qty"": 25, ""rung"": 1, ""strike"": 24000}, {""t"": ""2024-11-04T10:00:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-11-04T10:15:00+05:30"", ""index"": 24069.75, ""premium"": 470.7, ""qty"": 50, ""rung"": 2, ""strike"": 23950}]","{""timestamp"": ""2024-11-05T14:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-05T14:20:00+05:30"", ""index_price"": 24180.63, ""option_premium"": 537.2, ""premiums"": {""24000CE"": 537.2, ""23950CE"": 575.0}, ""reason"": ""target""}",24180.63
2024-11-06T11:50:00+05:30,2024-11-06T11:50:00+05:30,5m,2024-11-28,24000,25,1,1,2024-11-11T14:20:00+05:30,2024-11-11T14:40:00+05:30,target,9342.5,1370.0,66.75,1303.25,0,"[{""t"": ""2024-11-11T14:20:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-11-11T14:25:00+05:30"", ""index"": 24107.5, ""premium"": 373.7, ""qty"": 25, ""rung"": 1, ""strike"": 24000}]","{""timestamp"": ""2024-11-11T14:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-11T14:40:00+05:30"", ""index_price"": 24187.76, ""option_premium"": 428.5, ""premiums"": {""24000CE"": 428.5}, ""reason"": ""target""}",24187.76
2024-11-22T13:55:00+05:30,2024-11-22T13:55:00+05:30,5m,2024-12-26,23650,25,2,3,2024-12-20T12:55:00+05:30,2024-12-23T09:20:00+05:30,target,0,,,,2,"[{""t"": ""2024-12-20T12:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-12-20T13:00:00+05:30"", ""index"": 23768.7, ""premium"": null, ""qty"": 25, ""rung"": 1, ""strike"": 23650}, {""t"": ""2024-12-20T13:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-12-20T14:00:00+05:30"", ""index"": 23726.65, ""premium"": null, ""qty"": 50, ""rung"": 2, ""strike"": 23650}]","{""timestamp"": ""2024-12-23T09:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-12-23T09:20:00+05:30"", ""index_price"": 23755.23, ""option_premium"": null, ""premiums"": {""23650CE"": null}, ""reason"": ""target""}",23755.23
2024-12-17T11:15:00+05:30,2024-12-23T09:20:00+05:30,5m,2025-01-30,23650,25,2,3,2024-12-23T09:40:00+05:30,2024-12-27T09:55:00+05:30,target,42536.0,8235.25,185.87,8049.38,0,"[{""t"": ""2024-12-23T09:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-12-23T09:45:00+05:30"", ""index"": 23743.7, ""premium"": 576.04, ""qty"": 25, ""rung"": 1, ""strike"": 23650}, {""t"": ""2024-12-23T13:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-12-23T13:30:00+05:30"", ""index"": 23686.1, ""premium"": 562.7, ""qty"": 50, ""rung"": 2, ""strike"": 23600}]","{""timestamp"": ""2024-12-27T09:55:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-12-27T09:55:00+05:30"", ""index_price"": 23901.0, ""option_premium"": 650.85, ""premiums"": {""23650CE"": 650.85, ""23600CE"": 690.0}, ""reason"": ""target""}",23901.0
2024-12-27T10:15:00+05:30,2024-12-27T10:15:00+05:30,5m,2025-01-30,23550,25,2,3,2024-12-30T13:55:00+05:30,2025-01-01T10:55:00+05:30,target,40026.25,4726.25,153.08,4573.17,0,"[{""t"": ""2024-12-30T13:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-12-30T14:00:00+05:30"", ""index"": 23669.85, ""premium"": 527.75, ""qty"": 25, ""rung"": 1, ""strike"": 23550}, {""t"": ""2024-12-30T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-12-30T14:45:00+05:30"", ""index"": 23640.1, ""premium"": 536.65, ""qty"": 50, ""rung"": 2, ""strike"": 23550}]","{""timestamp"": ""2025-01-01T10:55:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-01T10:55:00+05:30"", ""index_price"": 23722.23, ""option_premium"": 596.7, ""premiums"": {""23550CE"": 596.7}, ""reason"": ""target""}",23722.23
2025-01-02T10:45:00+05:30,2025-01-02T10:45:00+05:30,5m,2025-01-30,23550,75,1,1,2025-01-06T12:00:00+05:30,2025-01-06T12:10:00+05:30,target,36821.25,453.75,118.02,335.73,0,"[{""t"": ""2025-01-06T12:00:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-06T12:05:00+05:30"", ""index"": 23627.2, ""premium"": 490.95, ""qty"": 75, ""rung"": 1, ""strike"": 23550}]","{""timestamp"": ""2025-01-06T12:10:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-06T12:10:00+05:30"", ""index_price"": 23701.55, ""option_premium"": 497.0, ""premiums"": {""23550CE"": 497.0}, ""reason"": ""target""}",23701.55
2025-01-21T09:15:00+05:30,2025-01-21T09:15:00+05:30,5m,2025-02-27,23050,75,1,1,2025-01-21T12:25:00+05:30,2025-01-21T13:00:00+05:30,target,49818.75,813.75,143.28,670.47,0,"[{""t"": ""2025-01-21T12:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-21T12:30:00+05:30"", ""index"": 23142.75, ""premium"": 664.25, ""qty"": 75, ""rung"": 1, ""strike"": 23050}]","{""timestamp"": ""2025-01-21T13:00:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-21T13:00:00+05:30"", ""index_price"": 23213.64, ""option_premium"": 675.1, ""premiums"": {""23050CE"": 675.1}, ""reason"": ""target""}",23213.64
2025-01-30T15:25:00+05:30,2025-01-30T15:25:00+05:30,5m,2025-02-27,23200,75,1,1,2025-02-11T09:30:00+05:30,2025-02-11T09:40:00+05:30,target,28871.25,682.5,103.15,579.35,0,"[{""t"": ""2025-02-11T09:30:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-02-11T09:35:00+05:30"", ""index"": 23320.6, ""premium"": 384.95, ""qty"": 75, ""rung"": 1, ""strike"": 23200}]","{""timestamp"": ""2025-02-11T09:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-02-11T09:40:00+05:30"", ""index_price"": 23320.96, ""option_premium"": 394.05, ""premiums"": {""23200CE"": 394.05}, ""reason"": ""target""}",23320.96
2025-03-06T09:15:00+05:30,2025-03-06T09:15:00+05:30,5m,2025-03-27,22250,75,1,1,2025-03-12T12:00:00+05:30,2025-03-12T12:35:00+05:30,target,24063.75,1001.25,94.38,906.87,0,"[{""t"": ""2025-03-12T12:00:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-03-12T12:05:00+05:30"", ""index"": 22343.55, ""premium"": 320.85, ""qty"": 75, ""rung"": 1, ""strike"": 22250}]","{""timestamp"": ""2025-03-12T12:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-03-12T12:35:00+05:30"", ""index_price"": 22380.49, ""option_premium"": 334.2, ""premiums"": {""22250CE"": 334.2}, ""reason"": ""target""}",22380.49
