mother,watch_from,tf,expiry,strike,lot,buys,lots,first_fill,exit,reason,deployed,gross,costs,net,unpriced,legs,exit_detail,target_index
2024-10-30T13:05:00+05:30,2024-10-30T13:05:00+05:30,5m,2024-11-28,24100,25,2,3,2024-10-31T13:35:00+05:30,2024-11-04T09:25:00+05:30,trail,42186.25,-7311.25,142.16,-7453.41,0,"[{""t"": ""2024-10-31T13:35:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-10-31T13:40:00+05:30"", ""index"": 24206.25, ""premium"": 560.75, ""qty"": 25, ""rung"": 1, ""strike"": 24100}, {""t"": ""2024-10-31T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-10-31T14:45:00+05:30"", ""index"": 24187.1, ""premium"": 563.35, ""qty"": 50, ""rung"": 2, ""strike"": 24100}]","{""timestamp"": ""2024-11-04T09:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-04T09:25:00+05:30"", ""index_price"": 24279.769, ""option_premium"": 465.0, ""premiums"": {""24100CE"": 465.0}, ""reason"": ""trail""}",24269.66
2024-11-06T11:50:00+05:30,2024-11-06T11:50:00+05:30,5m,2024-11-28,24000,25,1,1,2024-11-11T14:20:00+05:30,2024-11-11T15:00:00+05:30,trail,9342.5,956.25,66.23,890.02,0,"[{""t"": ""2024-11-11T14:20:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-11-11T14:25:00+05:30"", ""index"": 24107.5, ""premium"": 373.7, ""qty"": 25, ""rung"": 1, ""strike"": 24000}]","{""timestamp"": ""2024-11-11T15:00:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-11T15:00:00+05:30"", ""index_price"": 24175.05, ""option_premium"": 411.95, ""premiums"": {""24000CE"": 411.95}, ""reason"": ""trail""}",24187.76
2024-11-22T13:55:00+05:30,2024-11-22T13:55:00+05:30,5m,2024-12-26,23650,25,2,3,2024-12-20T12:55:00+05:30,2024-12-23T09:25:00+05:30,trail,0,,,,2,"[{""t"": ""2024-12-20T12:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-12-20T13:00:00+05:30"", ""index"": 23768.7, ""premium"": null, ""qty"": 25, ""rung"": 1, ""strike"": 23650}, {""t"": ""2024-12-20T13:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-12-20T14:00:00+05:30"", ""index"": 23726.65, ""premium"": null, ""qty"": 50, ""rung"": 2, ""strike"": 23650}]","{""timestamp"": ""2024-12-23T09:25:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-12-23T09:25:00+05:30"", ""index_price"": 23786.751, ""option_premium"": null, ""premiums"": {""23650CE"": null}, ""reason"": ""trail""}",23755.23
2024-12-27T10:15:00+05:30,2024-12-27T10:15:00+05:30,5m,2025-01-30,23550,25,2,3,2024-12-30T13:55:00+05:30,2025-01-01T11:35:00+05:30,trail,40026.25,3147.5,151.11,2996.39,0,"[{""t"": ""2024-12-30T13:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-12-30T14:00:00+05:30"", ""index"": 23669.85, ""premium"": 527.75, ""qty"": 25, ""rung"": 1, ""strike"": 23550}, {""t"": ""2024-12-30T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-12-30T14:45:00+05:30"", ""index"": 23640.1, ""premium"": 536.65, ""qty"": 50, ""rung"": 2, ""strike"": 23550}]","{""timestamp"": ""2025-01-01T11:35:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-01T11:35:00+05:30"", ""index_price"": 23740.2007265625, ""option_premium"": 575.65, ""premiums"": {""23550CE"": 575.65}, ""reason"": ""trail""}",23722.23
2025-01-02T10:45:00+05:30,2025-01-02T10:45:00+05:30,5m,2025-01-30,23550,75,1,1,2025-01-06T12:00:00+05:30,2025-01-06T12:20:00+05:30,trail,36821.25,397.5,117.95,279.55,0,"[{""t"": ""2025-01-06T12:00:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-06T12:05:00+05:30"", ""index"": 23627.2, ""premium"": 490.95, ""qty"": 75, ""rung"": 1, ""strike"": 23550}]","{""timestamp"": ""2025-01-06T12:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-06T12:20:00+05:30"", ""index_price"": 23699.86, ""option_premium"": 496.25, ""premiums"": {""23550CE"": 496.25}, ""reason"": ""trail""}",23701.55
2025-01-21T09:15:00+05:30,2025-01-21T09:15:00+05:30,5m,2025-02-27,23050,75,1,1,2025-01-21T12:25:00+05:30,2025-01-21T13:10:00+05:30,trail,49818.75,4680.0,148.11,4531.89,0,"[{""t"": ""2025-01-21T12:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-21T12:30:00+05:30"", ""index"": 23142.75, ""premium"": 664.25, ""qty"": 75, ""rung"": 1, ""strike"": 23050}]","{""timestamp"": ""2025-01-21T13:10:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-21T13:10:00+05:30"", ""index_price"": 23249.184999999998, ""option_premium"": 726.65, ""premiums"": {""23050CE"": 726.65}, ""reason"": ""trail""}",23213.64
2025-01-30T15:25:00+05:30,2025-01-30T15:25:00+05:30,5m,2025-02-27,23200,75,1,1,2025-02-11T09:30:00+05:30,2025-02-11T09:45:00+05:30,trail,28871.25,858.75,103.37,755.38,0,"[{""t"": ""2025-02-11T09:30:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-02-11T09:35:00+05:30"", ""index"": 23320.6, ""premium"": 384.95, ""qty"": 75, ""rung"": 1, ""strike"": 23200}]","{""timestamp"": ""2025-02-11T09:45:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-02-11T09:45:00+05:30"", ""index_price"": 23342.405, ""option_premium"": 396.4, ""premiums"": {""23200CE"": 396.4}, ""reason"": ""trail""}",23320.96
2025-03-06T09:15:00+05:30,2025-03-06T09:15:00+05:30,5m,2025-03-27,22250,75,1,1,2025-03-12T12:00:00+05:30,2025-03-12T12:40:00+05:30,trail,24063.75,150.0,93.3,56.7,0,"[{""t"": ""2025-03-12T12:00:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-03-12T12:05:00+05:30"", ""index"": 22343.55, ""premium"": 320.85, ""qty"": 75, ""rung"": 1, ""strike"": 22250}]","{""timestamp"": ""2025-03-12T12:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-03-12T12:40:00+05:30"", ""index_price"": 22372.425, ""option_premium"": 322.85, ""premiums"": {""22250CE"": 322.85}, ""reason"": ""trail""}",22380.49
2025-03-18T09:15:00+05:30,2025-03-18T09:15:00+05:30,5m,2025-04-30,21950,75,1,1,2025-04-07T09:45:00+05:30,2025-04-08T10:00:00+05:30,trail,43436.25,15037.5,148.9,14888.6,0,"[{""t"": ""2025-04-07T09:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-04-07T09:50:00+05:30"", ""index"": 22036.05, ""premium"": 579.15, ""qty"": 75, ""rung"": 1, ""strike"": 22000}]","{""timestamp"": ""2025-04-08T10:00:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-04-08T10:00:00+05:30"", ""index_price"": 22415.100546875, ""option_premium"": 779.65, ""premiums"": {""22000CE"": 779.65}, ""reason"": ""trail""}",22194.58
2025-04-11T12:15:00+05:30,2025-04-11T12:15:00+05:30,5m,2025-04-30,22800,75,0,0,,,expired,0,,,,0,[],{},
2025-05-02T09:25:00+05:30,2025-05-02T09:25:00+05:30,5m,2025-05-29,24200,75,2,3,2025-05-08T14:55:00+05:30,2025-05-13T09:50:00+05:30,trail,112492.5,85462.5,416.01,85046.49,0,"[{""t"": ""2025-05-08T14:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-05-08T15:00:00+05:30"", ""index"": 24291.3, ""premium"": 468.0, ""qty"": 75, ""rung"": 1, ""strike"": 24200}, {""t"": ""2025-05-09T10:45:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-05-09T11:00:00+05:30"", ""index"": 24012.5, ""premium"": 515.95, ""qty"": 150, ""rung"": 2, ""strike"": 23900}]","{""timestamp"": ""2025-05-13T09:50:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-05-13T09:50:00+05:30"", ""index_price"": 24713.289546875, ""option_premium"": 719.5, ""premiums"": {""24200CE"": 719.5, ""23900CE"": 959.95}, ""reason"": ""trail""}",24201.2
