mother,tf,expiry,strike,lot,buys,lots,first_fill,exit,reason,deployed,gross,costs,net,unpriced,legs,exit_detail,target_index
2024-10-16T11:45:00+05:30,5m,2024-10-31,25000,25,0,0,,,expired,0,,,,0,[],{},
2024-11-04T09:15:00+05:30,5m,2024-11-28,24450,25,2,3,2024-11-06T09:45:00+05:30,2024-11-06T10:40:00+05:30,trail,24810.0,622.5,118.92,503.58,0,"[{""t"": ""2024-11-06T09:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-11-06T09:50:00+05:30"", ""index"": 24343.85, ""premium"": 313.0, ""qty"": 25, ""rung"": 1, ""strike"": 24450}, {""t"": ""2024-11-06T10:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-11-06T10:30:00+05:30"", ""index"": 24355.8, ""premium"": 339.7, ""qty"": 50, ""rung"": 2, ""strike"": 24450}]","{""timestamp"": ""2024-11-06T10:40:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-06T10:40:00+05:30"", ""index_price"": 24302.421, ""option_premium"": 339.1, ""premiums"": {""24450PE"": 339.1}, ""reason"": ""trail""}",24292.45
2024-11-12T12:45:00+05:30,5m,2024-11-28,23850,25,1,1,2024-11-19T13:40:00+05:30,2024-11-19T13:55:00+05:30,trail,5017.5,-80.0,56.68,-136.68,0,"[{""t"": ""2024-11-19T13:40:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-11-19T13:45:00+05:30"", ""index"": 23761.05, ""premium"": 200.7, ""qty"": 25, ""rung"": 1, ""strike"": 23850}]","{""timestamp"": ""2024-11-19T13:55:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-11-19T13:55:00+05:30"", ""index_price"": 23755.485, ""option_premium"": 197.5, ""premiums"": {""23850PE"": 197.5}, ""reason"": ""trail""}",23817.6
2024-11-21T09:15:00+05:30,5m,2024-12-26,23750,25,3,6,2024-11-22T12:50:00+05:30,2024-12-20T10:20:00+05:30,trail,0,,,,3,"[{""t"": ""2024-11-22T12:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-11-22T12:55:00+05:30"", ""index"": 23674.85, ""premium"": null, ""qty"": 25, ""rung"": 1, ""strike"": 23750}, {""t"": ""2024-11-22T14:30:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2024-11-22T14:45:00+05:30"", ""index"": 23844.95, ""premium"": null, ""qty"": 50, ""rung"": 2, ""strike"": 23950}, {""t"": ""2024-11-25T12:15:00+05:30"", ""tf"": ""1h"", ""priced_at"": ""2024-11-25T13:15:00+05:30"", ""index"": 24261.75, ""premium"": null, ""qty"": 75, ""rung"": 3, ""strike"": 24350}]","{""timestamp"": ""2024-12-20T10:20:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-12-20T10:20:00+05:30"", ""index_price"": 23872.610546875, ""option_premium"": null, ""premiums"": {""23750PE"": null, ""23950PE"": null, ""24350PE"": null}, ""reason"": ""trail""}",23853.44
2024-12-20T12:40:00+05:30,5m,2025-01-30,24000,25,1,1,2024-12-27T10:05:00+05:30,2024-12-27T11:15:00+05:30,trail,8560.0,-167.5,63.33,-230.83,0,"[{""t"": ""2024-12-27T10:05:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2024-12-27T10:10:00+05:30"", ""index"": 23918.4, ""premium"": 342.4, ""qty"": 25, ""rung"": 1, ""strike"": 24000}]","{""timestamp"": ""2024-12-27T11:15:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2024-12-27T11:15:00+05:30"", ""index_price"": 23894.670000000002, ""option_premium"": 335.7, ""premiums"": {""24000PE"": 335.7}, ""reason"": ""trail""}",23887.89
2024-12-30T13:50:00+05:30,5m,2025-01-30,23900,25,3,6,2025-01-02T09:45:00+05:30,2025-01-06T12:15:00+05:30,trail,57933.75,18575.5,275.39,18300.11,0,"[{""t"": ""2025-01-02T09:45:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-02T09:50:00+05:30"", ""index"": 23815.05, ""premium"": 363.15, ""qty"": 25, ""rung"": 1, ""strike"": 23900}, {""t"": ""2025-01-02T10:15:00+05:30"", ""tf"": ""15m"", ""priced_at"": ""2025-01-02T10:30:00+05:30"", ""index"": 23833.1, ""premium"": 353.85, ""qty"": 50, ""rung"": 2, ""strike"": 23950}, {""t"": ""2025-01-03T09:15:00+05:30"", ""tf"": ""1h"", ""priced_at"": ""2025-01-03T10:15:00+05:30"", ""index"": 24144.7, ""premium"": 415.5, ""qty"": 75, ""rung"": 3, ""strike"": 24250}]","{""timestamp"": ""2025-01-06T12:15:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-06T12:15:00+05:30"", ""index_price"": 23716.817, ""option_premium"": 403.7, ""premiums"": {""23900PE"": 403.7, ""23950PE"": 423.4, ""24250PE"": 603.29}, ""reason"": ""trail""}",23899.78
2025-01-06T14:30:00+05:30,5m,2025-01-30,23450,75,1,1,2025-01-16T13:50:00+05:30,2025-01-16T14:05:00+05:30,trail,20722.5,-146.25,86.56,-232.81,0,"[{""t"": ""2025-01-16T13:50:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-16T13:55:00+05:30"", ""index"": 23326.25, ""premium"": 276.3, ""qty"": 75, ""rung"": 1, ""strike"": 23450}]","{""timestamp"": ""2025-01-16T14:05:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-16T14:05:00+05:30"", ""index_price"": 23323.835, ""option_premium"": 274.35, ""premiums"": {""23450PE"": 274.35}, ""reason"": ""trail""}",23391.73
2025-01-21T14:30:00+05:30,5m,2025-02-27,23450,75,1,1,2025-01-24T11:55:00+05:30,2025-01-24T13:15:00+05:30,trail,33405.0,4158.75,116.14,4042.61,0,"[{""t"": ""2025-01-24T11:55:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-24T12:00:00+05:30"", ""index"": 23333.85, ""premium"": 445.4, ""qty"": 75, ""rung"": 1, ""strike"": 23450}]","{""timestamp"": ""2025-01-24T13:15:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-24T13:15:00+05:30"", ""index_price"": 23215.55, ""option_premium"": 500.85, ""premiums"": {""23450PE"": 500.85}, ""reason"": ""trail""}",23274.44
2025-01-27T09:15:00+05:30,5m,2025-02-27,23400,75,1,1,2025-01-30T10:25:00+05:30,2025-01-30T15:00:00+05:30,trail,32966.25,1458.75,111.94,1346.81,0,"[{""t"": ""2025-01-30T10:25:00+05:30"", ""tf"": ""5m"", ""priced_at"": ""2025-01-30T10:30:00+05:30"", ""index"": 23280.25, ""premium"": 439.55, ""qty"": 75, ""rung"": 1, ""strike"": 23400}]","{""timestamp"": ""2025-01-30T15:00:00+05:30"", ""timeframe"": ""5m"", ""priced_at"": ""2025-01-30T15:00:00+05:30"", ""index_price"": 23182.04, ""option_premium"": 459.0, ""premiums"": {""23400PE"": 459.0}, ""reason"": ""trail""}",23188.01
2025-02-10T09:30:00+05:30,5m,2025-02-27,23550,75,0,0,,,expired,0,,,,0,[],{},
