session,exit_session,side,strike,expiry,lot,rsi,close,ema,entry_spot,exit_spot,entry_premium,exit_premium,priced,capital,charges,net
2021-01-05,2021-01-06,CE,14000,2021-01-07,75,72.7,14207.1,14169.31,14202.3,14239.3,216.0,230.85,True,16200.0,77.34,1036.4099999999996
2021-01-08,2021-01-11,CE,14150,2021-01-14,75,71.2,14357.4,14311.78,14346.6,14428.9,239.25,283.45,True,17943.75,82.93,3232.0699999999993
2021-01-25,2021-01-27,PE,14450,2021-01-28,75,24.8,14240.5,14297.39,14227.7,14166.7,224.85,288.35,True,16863.75,82.64,4679.8600000000015
2021-01-29,2021-02-01,PE,13800,2021-02-04,75,27.0,13625.4,13751.53,13613.4,13710.0,295.0,250.3,True,22125.0,82.88,-3435.379999999999
2021-02-01,2021-02-02,CE,14050,2021-02-04,75,70.5,14268.2,14205.77,14262.2,14573.6,285.65,518.35,True,21423.75,105.06,17347.440000000002
2021-03-02,2021-03-03,CE,14700,2021-03-04,75,72.0,14932.8,14854.54,14903.3,15053.2,228.95,354.25,True,17171.25,88.41,9309.09
2021-03-03,2021-03-04,CE,15050,2021-03-04,75,74.2,15248.1,15183.72,15241.9,15066.1,206.65,68.2,True,15498.75,63.14,-10446.89
2021-03-09,2021-03-10,CE,14900,2021-03-10,75,72.5,15114.0,15028.94,15095.6,15208.3,209.25,301.15,True,15693.75,82.95,6809.549999999998
2021-03-17,2021-03-18,PE,14900,2021-03-18,75,19.1,14698.8,14780.78,14701.1,14860.9,192.6,87.45,True,14445.0,64.07,-7950.319999999999
2021-04-13,2021-04-15,CE,14300,2021-04-15,75,70.5,14508.6,14454.12,14499.8,14555.6,230.55,263.0,True,17291.25,80.77,2352.979999999999
2021-04-30,2021-05-03,PE,14850,2021-05-06,75,24.7,14631.2,14699.39,14636.0,14452.2,277.6,394.45,True,20820.0,94.2,8669.549999999997
2021-05-17,2021-05-18,CE,14700,2021-05-20,75,72.2,14920.4,14891.66,14915.9,15107.1,255.7,403.55,True,19177.5,93.89,10994.860000000002
2021-05-21,2021-05-24,CE,14950,2021-05-27,75,77.4,15182.8,15142.61,15172.7,15242.8,291.8,314.9,True,21885.0,88.18,1644.3199999999974
2021-06-02,2021-06-03,CE,15350,2021-06-03,75,78.6,15573.4,15524.81,15571.1,15656.1,225.55,297.55,True,16916.25,83.45,5316.55
2021-06-30,2021-07-01,PE,15900,2021-07-01,75,23.1,15714.1,15762.71,15716.2,15717.7,174.45,178.05,True,13083.75,70.83,199.17000000000172
2021-07-06,2021-07-07,PE,16000,2021-07-08,75,25.4,15807.0,15858.56,15813.1,15799.7,183.8,218.75,True,13785.0,74.73,2546.519999999999
2021-07-30,2021-08-02,PE,15950,2021-08-05,50,21.7,15748.7,15807.16,15757.6,15863.5,206.45,131.3,True,10322.5,61.37,-3818.869999999999
2021-08-03,2021-08-04,CE,15950,2021-08-05,50,82.1,16125.8,16076.05,16128.2,16228.3,188.1,274.65,True,9405.0,68.85,4258.649999999999
2021-08-17,2021-08-18,CE,16400,2021-08-18,50,73.7,16622.2,16573.12,16616.0,16676.5,213.1,273.0,True,10655.0,69.57,2925.4300000000003
2021-08-30,2021-08-31,CE,16750,2021-09-02,50,76.4,16934.1,16902.41,16926.4,16957.1,181.25,215.0,True,9062.5,65.26,1622.24
2021-08-31,2021-09-01,CE,16950,2021-09-02,50,80.3,17142.6,17072.07,17135.9,17154.0,196.1,205.65,True,9805.0,65.22,412.28000000000054
2021-09-21,2021-09-22,CE,17350,2021-09-23,50,72.6,17548.2,17512.01,17544.5,17588.2,233.8,249.6,True,11690.0,68.94,721.059999999999
2021-09-28,2021-09-29,CE,17550,2021-09-30,50,72.0,17770.7,17680.34,17764.7,17648.8,227.7,147.4,True,11385.0,62.98,-4077.979999999999
2021-10-05,2021-10-06,CE,17650,2021-10-07,50,73.9,17828.2,17798.47,17827.35,17863.7,204.85,218.2,True,10242.5,66.22,601.2799999999997
2021-10-19,2021-10-20,PE,18600,2021-10-21,50,25.2,18404.75,18497.58,18416.2,18389.7,189.2,206.85,True,9460.0,65.06,817.4400000000003
2021-11-17,2021-11-18,PE,18100,2021-11-18,50,26.7,17894.2,17945.96,17916.8,17920.85,188.8,176.95,True,9440.0,63.37,-655.8700000000011
2021-11-24,2021-11-25,PE,17650,2021-11-25,50,24.5,17415.05,17495.7,17432.3,17440.55,220.0,220.85,True,11000.0,66.86,-24.360000000000284
2021-11-30,2021-12-01,PE,17200,2021-12-02,50,28.9,16982.85,17083.01,16987.85,17192.55,243.7,114.0,True,12185.0,61.62,-6546.619999999999
2021-12-06,2021-12-07,PE,17100,2021-12-09,50,21.9,16909.75,16980.49,16916.05,17051.1,229.25,136.3,True,11462.5,62.4,-4709.899999999999
2021-12-10,2021-12-13,CE,17300,2021-12-16,50,73.3,17522.2,17478.29,17517.3,17629.25,275.1,365.0,True,13755.000000000002,76.79,4418.209999999999
2022-01-04,2022-01-05,CE,17600,2022-01-06,50,76.7,17797.6,17756.69,17793.85,17818.6,210.25,234.0,True,10512.5,67.28,1120.22
2022-01-18,2022-01-19,PE,18300,2022-01-20,50,17.6,18097.6,18201.36,18109.85,18058.45,207.0,260.85,True,10350.0,68.69,2623.810000000001
2022-01-28,2022-01-31,PE,17300,2022-02-03,50,28.7,17088.3,17178.08,17088.85,17317.9,348.35,227.0,True,17417.5,71.42,-6138.920000000001
2022-02-14,2022-02-15,PE,17050,2022-02-17,50,28.0,16837.05,16913.53,16862.0,16973.65,276.95,191.1,True,13847.5,67.06,-4359.56
2022-02-15,2022-02-16,CE,17150,2022-02-17,50,77.6,17351.6,17272.7,17339.75,17378.55,257.8,286.2,True,12890.0,71.78,1348.219999999999
